Gene Symbol	OVCAR_KO
ATAD3A	331
MYCBP	881
MRAS	272
LOC105374129	0
ESYT3	29
CEP70	971
FAIM	155
LOC256374	3
PIK3CB	546
GAPDHP39	13
RPL23AP40	0
EEF1A1P25	0
LOC105378663	0
ATP5G1P3	1
LINC01391	6
FOXL2	2
FOXL2NB	12
PRR23A	1
PRR23B	0
PRR23C	0
RPL7L1P7	0
BPESC1	0
PISRT1	0
GJA9	8
MRPS22	1212
COPB2	4366
LOC100507291	13
RBP2	0
ACTG1P1	13
RBP1	1878
NMNAT3	129
RN7SKP124	0
RN7SL724P	0
TRMT112P5	0
RHBDL2	6
CLSTN2	814
LOC105374132	12
CLSTN2-AS1	15
LOC102724068	75
TRIM42	0
RPL23AP41	0
SLC25A36	2305
SPSB4	22
PXYLP1	431
RPL31P21	0
LOC105378662	0
LOC107986137	0
LOC100289442	0
ZBTB38	658
KRT18P35	0
RASA2	442
YWHAQP6	0
LOC646730	0
TPT1P3	0
RNF7	817
GRK7	9
RNU6-605P	0
LOC105374134	0
HMGN2P25	0
ATP1B3	2001
RNU6-509P	0
TFDP2	1993
RPL19P6	5
RNU6-425P	0
GK5	954
XRN1	1038
RNU6-1294P	0
EIF1P2	0
RNU1-100P	0
ATR	1038
LOC731755	37
SUCLG2P1	12
RPL6P9	0
RNA5SP143	0
PLS1	1756
LOC105374136	5
RN7SKP25	0
TRPC1	198
AKIRIN1	1225
RNU7-47P	0
PCOLCE2	114
RPL8P3	0
LOC100507389	0
PAQR9	3
PAQR9-AS1	0
LOC100289361	7
U2SURP	3092
LOC105374138	0
CHST2	14
NDUFS5	3836
LOC105374137	1
PBX2P1	2
SLC9A9	23
SLC9A9-AS1	0
GAPDHP47	0
ST13P15	0
LOC100128739	0
LOC102724120	0
RPS17P10	0
C3orf58	234
LOC107984944	38
RNA5SP144	0
LOC105374140	2
LOC105374139	0
LOC105374141	0
LARP7P4	0
LOC105374142	0
LOC105374143	0
LOC105374144	1
GM2AP1	0
RPL21P39	0
TMEM240	0
MACF1	2960
LOC107986138	0
PLOD2	1007
LOC105374145	0
PLSCR4	80
LOC100419967	0
PLSCR2	21
PLSCR1	426
RNU6-428P	0
PLSCR5	0
LINC02010	0
RNU6-608P	0
RNU6-505P	0
LOC107986139	0
RPL21P71	0
ZIC4	0
ZIC1	0
LOC440982	0
NPM1P28	0
LOC102724145	0
LINC02032	0
HNRNPA1P20	0
RNA5SP44	0
LOC105374146	0
LOC105374149	0
LOC105374148	0
LOC105374147	0
LOC105374150	1
RPL38P1	0
AGTR1	0
HMGB1P30	0
CPB1	0
CPA3	0
HSPE1P8	0
LOC107986045	0
UBQLN4P1	7
GYG1	506
HLTF	3368
HLTF-AS1	9
MED28P2	0
HPS3	319
